Date,"BODY FAT" (%),"BODY MASS INDEX","BURNED CALORIES" (kcal),"CALORIE DEFICIT" (kcal),"DIETARY CALORIES" (kcal),"DISTANCE (R+W)" (km),"EXERCISE MINUTES","FLIGHTS CLIMBED","NET CALORIES" (kcal),"RESTING CALORIES" (kcal),"RESTING HEART RATE" (bpm),"SATURATED FAT" (g),"SLEEP","STEPS","TOTAL CALORIES" (kcal),"TOTAL FAT" (g),"WORKOUTS", DURATION
"18/03/2024",,,"325.81","2325.81",,"4.02","31m","8","1933.67","1607.86","61",,,"4910","1933.67",,,
"19/03/2024",,,"688.2","2688.2",,"12.9","1h 36m","8","2314.65","1626.45","65",,,"17035","2314.65",,,
"20/03/2024",,,"505.77","2505.77",,"7.08","40m","2","2193.71","1687.94","58",,,"9248","2193.71",,,
"21/03/2024",,,"598.94","2598.94",,"9.49","58m","10","2303.58","1704.64","65",,,"12474","2303.58",,,
"22/03/2024",,,"466.37","2466.37",,"6.22","24m","6","2126.4","1660.03","64",,,"8396","2126.4",,,
"23/03/2024",,,"470.28","2470.28",,"6.7","38m","8","2168.78","1698.5","58",,,"8857","2168.78",,,
"24/03/2024",,,,"2000",,"1.69",,"5","1499.26","1499.26",,,,"2151","1499.26",,,
"25/03/2024",,,"430.75","2430.75",,"7.45","58m","4","2042.02","1611.28","66",,,"9195","2042.02",,,
"26/03/2024",,,,"2000",,"3.15",,"5","1460.56","1460.56",,,,"3900","1460.56",,,
"27/03/2024",,,"477.76","2477.76",,"6.03","31m","6","2156.75","1678.99","64",,,"8228","2156.75",,,
"28/03/2024",,,,"2000",,"0.12",,,"1478.7","1478.7",,,,"163","1478.7",,,
"29/03/2024",,,"408.97","2408.97",,"4.64","26m","5","2067.43","1658.47","66",,,"5965","2067.43",,,
"30/03/2024",,,"488.71","2488.72",,"6.97","37m","4","2147.67","1658.96","62",,,"9067","2147.67",,,
"31/03/2024",,,,"2000",,"0.19",,"1","1428.15","1428.15",,,,"238","1428.15",,,
